آدم تو آفتابه پپسیبخوره، خیط نشه,,,,
,,,,
آدم چاق و چله,,,,
,,,,
آدم خز موتور باز,,,,
,,,,
,,,,
,,,,
آدم خودشبمیردهوادارشنمیرد,,,,
,,,,
آدم خوشمعامله شریکمال مردمه,,,,
,,,,
آدم خیلی قد بلند.,,,,
,,,,
آدم دانا به نیشتر نزندمشت,,,,
,,,,
آدم دانا بهنیشتر نزندمشت,,,,
,,,,
آدم درب و داغون. نامنوعیسیب زمینیمحلی ایران.,,,,
,,,,
آدم دست پاچه کار رادوبارمیکند,,,,
,,,,
آدم زنده زندگی میخواهد,,,,
,,,,
آدم زنده زندگیمی,,,,
,,,,
آدم زنده وکیل وصینمیخواد,,,,
,,,,
آدم زنده وکیلوصینمیخواد,,,,
,,,,
,,,,
,,,,
آدم گدا اینهمه ادا؟,,,,
,,,,
آدم گرسنه خواب نانسنگک میبینه,,,,
,,,,
آدم گرسنه یادپلویعروسیش میافته,,,,
,,,,
,,,,
,,,,
آدم ناشی سرنارا ازسرگشادش می,,,,
,,,,
آدم ناشی، سُرنا را ازسر گشادش می,,,,
,,,,
,,,,
,,,,
آدم، آ هست و دم,,,,
,,,,
,,,,
,,,,
آرد خودمونو بیختیم،الک مونو آویختیم,,,,
,,,,
آردها مونوبیختیم الک,,,,
,,,,
آرزو بر جوانان عیبنیست,,,,
,,,,
آرزو بر جوانانعیبنیست,,,,
,,,,
,,,,
,,,,
آرنولد,,,,
,,,,
,قوي هيکل.,,,
آرنولد فشرده,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آسایش دو گیتی تفسیراین دوحرفاست,,,,
,,,,
,,,,
,,,,
آستین نو بخورپلو,,,,
,,,,
آسفالت کردی مارو,ما را خستهکردي.,,,
,,,,
,,,,
,,,,
,,,,
آسمان برفمی,,,,
,,,,
,,,,
,,,,
آسه برو آسه بیاکه گربهشاختنزنه,,,,
,,,,
آسوده کسی که خرنداره,,,,
,,,,
آسیاب به نوبت,,,,
,,,,
,,,,
,,,,
آش اینجا لواشاینجاکجا برم بهاز اینجا,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آش کشکخاله,,,,
,,,,
,,,,
,,,,
آش نخورده ودهنسوخته,,,,
,,,,
,,,,
,,,,
آش و لاش,,,,
,,,,
آشپز که دوتاشد آش یاشورمی,,,,
,,,,
آشپز که دوتاشد آشیاشورمیشه یا بی نمک,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آشغال کله,,,,
,,,,
آشغالانس,,,,
,,,,
آشفته. کثیف. شندرهپندره.,,,,
آشفته..,. شندره پندره,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آفتابه خرج لحیمه,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آفتابه و لوله نگهر دو یککارمی,,,,
,,,,
آفتافه,آفتابه,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آقا زاده,,,,
,,,,
آقا مجتبی,,,,
,,,,
آقابالاسر نمی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آقای خرچنگ,,,,
,,,,
,,,,
آقای گودرزی با خانمشقایقی فامیلن؟,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آلبالو,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آمپر چسبوندن,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آمد زیر ابروشوبرداره چشمشرا کورکرد,,,,
,,,,
آمدم ثواب کنم کبابشدم,,,,
,,,,
آمدی جانم بهقربانتولی حالاچرا؟,,,,
,,,,
آمدی جانم بهقربانتولی حالاچرا؟شهریار,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آن,,,,
,,,,
آن کس که در هرجادوستانی دارد،همهجا را دوستداشتنی می یابد,,,,
,,,,
آن ممه را لولوبرد,,,,
,,,,
آن یکی آواز دهلشنیدن از دور خوشه,,,,
,,,,
آنان که غنی ترند،یارانه ترند,,,,
,,,,
آنان کهغنی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,فرد خبر چين.,,,
,,,,
,,,,
,,,,
,,,,
آنتی حال زدن,,,,
,,,,
,,,,
,,,,
آنچه البته بهجایینرسد فریاداست,,,,
,,,,
آنفالو,,,,
,,,,
آنگه شود پدیدکه نامردو مردکیست؟,,,,
,,,,
,,,,
,,,,
آه نداشت که بانالهسودا کند,,,,
,,,,
آواتار,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آی گفتی,,,,
,,,,
,,,,
,,,,
آیکیو IQ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
آینه ی بغل اتوبوس,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ابر و باد و مه وخورشیدو فلکدر کار اند,,,,
,,,,
ابراز تعجب کردن,,,,
,,,,
ابراز تعجب کردن ازخصوصیات واخلاقهای همراهمان.,,,,
,,,,
ابراز تعجب کردن ازشخصیت یاتواناییکسی.,,,,
,,,,
ابراز علاقه به کسیکردن.,,,,
,,,,
ابراز علاقه کردن بهکسی.,,,,
,,,,
ابراز نارضایتی ازاوضاع.,,,,
,,,,
,,,,
,,,,
,,,,
ابرو پاچه بزی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ابلهان باورکنند,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ابوالحسن نجفی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
اتو کشیده,,,,
,,,,
اتوب,,,,
,,,,
,,,,
,,,,
اجاره نشینخوش نشینه,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
اجی مجی لاترجی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
احمق <br>آشغالانس,,,,
,,,,
,,,,
,,,,
,,,,
اختلاف ازگفت,,,,
,,,,
,,,,
,,,,
اخرابتیم,,,,
,,,,
,,,,
,,,,
اداى تنگ ها رو درآوردن,,,,
,,,,
,,,,
,,,,
ادای زرنگا رو درآوردن,,,,
,,,,
ادب از کهآموختی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ادعای پادشاهی میکرد,,,,
,,,,
ادعایپادشاهی میکرد,,,,
ادیسون,باهوش.,,,
,,,,
,,,,
اذیت کردن. مزاحمشدن. سماجت کردن.,,,,
اذیت نکن. سماجتنکن.,,,,
,,,,
,,,,
,,,,
,,,,
ارادتمندیم. نوعیغلطگوییرایج است.,,,,
ارادتمندیم..,نوعیغلطگوییرایج است,,,
,,,,
,,,,
,,,,
,,,,
ارث خرس بهکفتارمیرسه,,,,
,,,,
,,,,
,,,,
اُرجینال: اصل، منحصربه فرد,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ارزان خری انبان خری,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ارهزرنگی زیاد فقرمی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
از آب کرهمی,,,,
,,,,
از آب گذشته,,,,
,,,,
از آب گل آلودماهی می,,,,
,,,,
از آب گل آلودماهیمیگیره,,,,
,,,,
از آن نترس که,,,,
,,,,
از اسبافتاده,,,,
,,,,
از اون لحاظ اونها روهم برات درستمیکنیم!,,,,
,,,,
از اون نترس که های وهوی دارد از آنبترسکه سر به تو دارد,,,,
,,,,
از اونجا مونده از اینجارونده,,,,
,,,,
از این امامزاده کسی معجزه نمیبینه,,,,
از این امامزاده کسیمعجزه نمیبینه,,,,
از این دم بریده هر چیبگیبرمیاد,,,,
,,,,
از این دم بریدههرچیبگیبرمیاد,,,,
از این ستون به آنستون فرجه,,,,
,,,,
از این ستون بهآنستون فرجه,,,,
از این شاخه به اونشاخه می,,,,
,,,,
از این گوش می گیرد واز آن گوش درمی کند,,,,
,,,,
از این گوشمی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
از بی,,,,
,,,,
,,,,
,,,,
از ترس عقرب جراره بهنیش مار غاشیهپناهبردن,,,,
,,,,
از ترس عقربجراره بهنیشمار غاشیهپناهبردن,,,,
از تنگی چشم پیل معلومم شد کانان کهغنی,,,,
از تنگی چشم پیلمعلومم شدکانانکهغنی,,,,
از تنگی چشمپیلمعلومم شدکانانکهغنی,,,,
از تو حرکت ازخدابرکت,,,,
,,,,
از تو خیال که..,,,,
,,,,
,,,,
,,,,
,,,,
از جلو چشام خفه شوحوصله تو ندارم,,,,
از حق تا ناحقچهارانگشتفاصله,,,,
,,,,
از خر افتاده خرما پیداکرده,,,,
,,,,
از خرس موئی کندن غنیمته,,,,
,,,,
از خرس موئیکندن غنیمته,,,,
,,,,
از خودت گذشته خداعقلی به بچه,,,,
,,,,
از خودت گذشته خداعقلی بهبچه,,,,
,,,,
از دبه کسیضرر ندیده,,,,
,,,,
از درد لاعلاجی به خرمیگه خان باجی,,,,
,,,,
از درد لاعلاجیبه خرمیگهخانمباجی,,,,
,,,,
از درون من نجست اسرارمن,,,,
از درون من نجستاسرار من,,,,
از درون مننجستاسرارمن,,,,
,,,,
,,,,
از دور دل میبری,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
از سرم خرجنگ بلندشد,,,,
,,,,
از سه چیز بایدحذرکرد دیوارشکستهسگدرنده زن سلیطه,,,,
,,,,
از سه چیز بایدحذرکرد دیوارشکستهسگدرنده زن سلیطهf,,,,
از سوراخ سوزنردمیشه,,,,
,,,,
از شما عباسی از مارقاصی,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
از عقب دادن,,,,
,,,,
از فضل پدر تورا چهحاصل,,,,
,,,,
از ک آوردن,,,,
,,,,
از کاهو جوش خبرنداره,,,,
,,,,
از کوزه همانبرون تراودکه دراوست,,,,
,,,,
از کون اردک سر درنمیاره,,,,
,,,,
از کیسه خلیفه میبخشی,,,,
,,,,
از کیسه خلیفهمی,,,,
از گاو نفهمتر.,,,,
,,,,
از گدا چه یکنان بگیرندو چهبدهند,,,,
,,,,
از گیر دزد درآمده گیررمالافتاد,,,,
,,,,
از گیر دزد درآمده،گیر رمال افتاد,,,,
,,,,
از ماست که برماست,,,,
,,,,
از مال پس است و ازجان عاصی,,,,
,,,,
از مد افتاده.,,,,
,,,,
از مردی تانامردی یکقدماست,,,,
,,,,
از مکافات عمل غافل نشو,,,,
از مکافات عملغافل نشو,,,,
از من بدر به جوال کاه,,,,
,,,,
از من بدر بهجوال کاه,,,,
,,,,
از نخورده بگیر بده بهخورده,,,,
,,,,
از نو کیسه قرض مکن قرضکردی خرجنکن,,,,
,,,,
از هر چه بدماومد سرماومد,,,,
,,,,
از هر دست بدی ازهمون دست می,,,,
,,,,
از هول هلیمافتاد تویدیگ,,,,
,,,,
,,,,
,,,,
از یک گل بهارنمیشه,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ازدواج با آدم پول,,,,
,,,,
,,,,
,,,,
ازهرطرفکشته شودسوداسلام است,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
اس بازی به کسر الف,,,,
,,,,
اس بازی به کسرالف,,,,
,,,,
,,,,
,,,,
,,,,
اســـب تازی در طویلهگر ببندی پیشخـــر,,,,
,,,,
اسب تازی درطویله گرببندیپیش خر,,,,
,,,,
اسب تازی شدهمجروح به زیرپالانطوق زرین همه برگردن خرمیبینم,,,,
,,,,
اسب تازی شدهمجروحبه,,,,
,,,,
اسب ترکمنی است، هماز توبره میخورههمازآخور,,,,
,,,,
اسب ترکمن یاست همازتوبره می,,,,
اسب ترکمنیاست همازتوبره می,,,,
اسب حیوان نجیبیاست,,,,
,,,,
اسب دونده جوخود رازیادمیکنه,,,,
,,,,
اسب را گمکرده پینعلش میدوی,,,,
,,,,
اسب لاغر میانبه کارآید,,,,
,,,,
,,,,
,,,,
اسب و خر را که یکجاببندند، اگر همبونشندهمخو میشند,,,,
,,,,
اسب و خر را کهیک جاببندند اگر هم,,,,
,,,,
اسباب خونهبهصاحبخونه میره,,,,
,,,,
اسبپیش,,,,
,,,,
,,,,
,,,,
اسپویل,,,,
,,,,
است,,,,
,,,,
استاد خسته نباشید,,,,
,,,,
استاد خیابانی,,,,
,,,,
استاد دونی,,,,
,,,,
استاد کردن,,,,
,,,,
استان مغان,,,,
,,,,
استخری که آبنداره این همه قورباغهمیخوادچی کار,,,,
,,,,
استخری که آبنداره این همهقورباغهمی,,,,
,,,,
استخوان لای زخمگذاشتن,,,,
,,,,
استخوان لایزخمگذاشتن,,,,
استراحت بده بهش,,,,
,,,,
,خفه شو.,,,
استرچ مشکی,,,,
,,,,
استرخ,,,,
,,,,
استفراغ,,,,
,,,,
استقلال,,,,
,,,,
استمناء,,,,
,,,,
استوراخ,,,,
,,,,
استیو جابز,,,,
,,,,
اسدالله خان,,,,
,,,,
اسفالت شدن دهان,,,,
,,,,
اسکل,اسکول,,,
,,,,
اسکول,,,,
,,,,
اسکناس,,,,
,,,,
اسکودی کلاچ,,,,
,,,,
,,,,
,,,,
اسکول کردن,,,,
,,,,
اسکی رفتن,,,,
,,,,
اسکیموزی,,,,
,,,,
اسگل,,,,
,نفهم,,,
,,,,
,کسي که چيزينمي فهمد.,,,
اسگل کردن,,,,
,,,,
اسگل،نفهم.,,,,
اسگل.,,,,
اسلوموشن,,,,
,,,,
اسم+فلافل,,,,
,,,,
اسمارتیس,,,,
,,,,
اسمز,,,,
,,,,
اسمم,,,,
,,,,
اسمى,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
اسی,,,,
,,,,
اسید,,,,
,,,,
اسیدی,,,,
,,,,
اسیدی حال دادن--,,,,
,,,,
اشاره به بچه بودنکسی.,,,,
اشاره به فیلمDriver بامهارترانندگیکرزدن<br>دردکشیدهطبیبه,,,,
اشاره به کسی که زیاددرس می خواند.,,,,
,,,,
اشاره به کسی کهخوش حالاست و دائمدر حال خندیدناست.,,,,
,,,,
اشتب,,,,
,,,,
,,,,
,,,,
اشتب ;کوتاه شدهیاشتباه,,,,
,,,,
اشتباه استراتژیک,,,,
,,,,
اشتون,,,,
,,,,
اشغال بودن,,,,
,,,,
اشفیل یا اشپیل,,,,
,,,,
اشکول تپه,,,,
,,,,
اشک,,,,
,,,,
اشک ریختن,,,,
,,,,
اشکم,,,,
,,,,
اشکول,,,,
,,,,
اشلون,,,,
,,,,
اشمیخ,,,,
,,,,
اصغر آرنولد اینا,,,,
,,,,
,,,,
,,,,
اصغر آرنولد اینااکبرمحمد آرنولد اینا: کسی که زیبایی اندامکار می کند ولیجوادبی کلاس و دهاتی است . کسیکه زیادقپی می آید و خودشرا زورمندنشان میدهد.,,,,
,,,,
اصغر دخالت,,,,
,,,,
اصغر فرهادی,,,,
,,,,
اصفهان,,,,
,,,,
اصل,,,,
,,,,
,,,,
اصل بینل,,,,
,,,,
اصل کار بر وروست کچلی زیرموست,,,,
,,,,
اصن فرض کن این باباچماق,,,,
,,,,
اصن یه وضعی,,,,
,,,,
اصن یه وضی,,,,
,,,,
اعتماد به سقف کاذب,,,,
,,,,
اعصاب,,,,
,,,,
اعمال قانون,,,,
,,,,
اغضر اینجاکو نخوبن,,,,
,,,,
اف بی,,,,
,,,,
اف جی اس,,,,
,,,,
اف سی لنگ,,,,
,,,,
افاده,,,,
,,,,
افاضه فضل,,,,
,,,,
افتاتیک,,,,
,,,,
افتاد,,,,
,,,,
افتاد تو میکسر,,,,
,,,,
افتادگی آموزاگرطالبفیضی,,,,
,,,,
افتادن از درس ریاضیافتادم,,,,
,,,,
افتض,,,,
,,,,
افسانه,,,,
,,,,
افسوس,,,,
,,,,
افقی شدن,,,,
,,,,
افه نیا,,,,
,,,,
اقا لاته شلوار پاته؟,,,,
,,,,
اقاجون,,,,
,,,,
اقای زاپاس,,,,
,,,,
اقتضای طبیعتش ایناست,,,,
,,,,
اقتضایطبیعتش ایناست,,,,
,,,,
اقدس,,,,
,,,,
اققی,,,,
,,,,
اکسترساسترکس,,,,
,,,,
اکازیون,,,,
,,,,
اکبر !!,,,,
,,,,
اکبر نارن,,,,
,,,,
اکبر ندهد خدای اکبربدهد,,,,
,,,,
اکس,,,,
,,,,
اکشن,,,,
,,,,
اکله,,,,
,,,,
اگر باران بهکوهستاننبارد,,,,
,,,,
اگر باشدبنی,,,,
,,,,
اگر ببری دردداره,,,,
,,,,
اگر بپوشی رختی بنشینی به تختیتازهمی بینمت بچشم آنوختی,,,,
,,,,
اگر بپوشیرختی بنشینی بهتختیتازهمی,,,,
,,,,
